"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2019-01-01","2019","01","01","","2.3","","-11.7","","-4.7","","22.7","","0.0","","","","","","19.7","","5","","35","","37",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-02","2019","01","02","","-9.1","","-14.9","","-12.0","","30.0","","0.0","","","","","","0.2","","6","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-03","2019","01","03","","-3.0","","-13.8","","-8.4","","26.4","","0.0","","","","","","2.9","","11","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-04","2019","01","04","","2.9","","-3.0","","0.0","","18.0","","0.0","","","","","","3.7","","15","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-05","2019","01","05","","2.4","","1.0","","1.7","","16.3","","0.0","","","","","","0.0","","11","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-06","2019","01","06","","1.6","","-12.0","","-5.2","","23.2","","0.0","","","","","","0.9","","11","","35","","42",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-07","2019","01","07","","-9.8","","-14.3","","-12.1","","30.1","","0.0","","","","","","4.0","","25","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-08","2019","01","08","","1.7","","-9.9","","-4.1","","22.1","","0.0","","","","","","8.2","","32","","18","","31",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-09","2019","01","09","","0.7","","-2.9","","-1.1","","19.1","","0.0","","","","","","1.3","","30","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-10","2019","01","10","","-2.8","","-13.1","","-7.9","","25.9","","0.0","","","","","","1.6","","35","","35","","34",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-11","2019","01","11","","-12.7","","-18.6","","-15.6","","33.6","","0.0","","","","","","0.4","","34","","24","","31",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-12","2019","01","12","","-13.0","","-17.8","","-15.4","","33.4","","0.0","","","","","","0.0","","32","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-13","2019","01","13","","-10.8","","-16.8","","-13.8","","31.8","","0.0","","","","","","0.2","","31","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-14","2019","01","14","","-7.5","","-14.7","","-11.1","","29.1","","0.0","","","","","","0.0","","30","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-15","2019","01","15","","-1.8","","-7.6","","-4.7","","22.7","","0.0","","","","","","0.0","","30","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-16","2019","01","16","","1.2","","-17.7","","-8.2","","26.2","","0.0","","","","","","0.9","","32","","24","","38",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-17","2019","01","17","","-13.5","","-20.5","","-17.0","","35.0","","0.0","","","","","","0.4","","32","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-18","2019","01","18","","-7.6","","-15.7","","-11.6","","29.6","","0.0","","","","","","1.0","","32","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2019-01-19","2019","01","19","","-14.2","","-23.9","","-19.0","","37.0","","0.0","","","","","","1.9","","34","","1","","31",""
